IUCR_Code,IUCR_cat,HOURLYTemp,ID-count
1,HOMICIDE,-6,1
1,HOMICIDE,-5,2
1,HOMICIDE,-3,1
1,HOMICIDE,-2,3
1,HOMICIDE,1,5
1,HOMICIDE,2,3
1,HOMICIDE,3,5
1,HOMICIDE,4,1
1,HOMICIDE,6,3
1,HOMICIDE,7,4
1,HOMICIDE,8,2
1,HOMICIDE,9,2
1,HOMICIDE,10,4
1,HOMICIDE,11,4
1,HOMICIDE,12,2
1,HOMICIDE,13,4
1,HOMICIDE,14,5
1,HOMICIDE,15,5
1,HOMICIDE,16,5
1,HOMICIDE,17,7
1,HOMICIDE,18,11
1,HOMICIDE,19,12
1,HOMICIDE,20,10
1,HOMICIDE,21,20
1,HOMICIDE,22,13
1,HOMICIDE,23,6
1,HOMICIDE,24,14
1,HOMICIDE,25,11
1,HOMICIDE,26,17
1,HOMICIDE,27,12
1,HOMICIDE,28,18
1,HOMICIDE,29,20
1,HOMICIDE,30,31
1,HOMICIDE,31,29
1,HOMICIDE,32,33
1,HOMICIDE,33,20
1,HOMICIDE,34,25
1,HOMICIDE,35,42
1,HOMICIDE,36,21
1,HOMICIDE,37,30
1,HOMICIDE,38,38
1,HOMICIDE,39,29
1,HOMICIDE,40,31
1,HOMICIDE,41,17
1,HOMICIDE,42,31
1,HOMICIDE,43,23
1,HOMICIDE,44,32
1,HOMICIDE,45,21
1,HOMICIDE,46,31
1,HOMICIDE,47,20
1,HOMICIDE,48,27
1,HOMICIDE,49,18
1,HOMICIDE,50,34
1,HOMICIDE,51,14
1,HOMICIDE,52,32
1,HOMICIDE,53,32
1,HOMICIDE,54,26
1,HOMICIDE,55,28
1,HOMICIDE,56,40
1,HOMICIDE,57,39
1,HOMICIDE,58,31
1,HOMICIDE,59,33
1,HOMICIDE,60,32
1,HOMICIDE,61,34
1,HOMICIDE,62,32
1,HOMICIDE,63,57
1,HOMICIDE,64,48
1,HOMICIDE,65,47
1,HOMICIDE,66,40
1,HOMICIDE,67,46
1,HOMICIDE,68,49
1,HOMICIDE,69,50
1,HOMICIDE,70,43
1,HOMICIDE,71,38
1,HOMICIDE,72,47
1,HOMICIDE,73,53
1,HOMICIDE,74,58
1,HOMICIDE,75,36
1,HOMICIDE,76,34
1,HOMICIDE,77,31
1,HOMICIDE,78,28
1,HOMICIDE,79,33
1,HOMICIDE,80,17
1,HOMICIDE,81,19
1,HOMICIDE,82,18
1,HOMICIDE,83,14
1,HOMICIDE,84,15
1,HOMICIDE,85,8
1,HOMICIDE,86,8
1,HOMICIDE,87,5
1,HOMICIDE,88,11
1,HOMICIDE,89,9
1,HOMICIDE,90,6
1,HOMICIDE,91,2
1,HOMICIDE,92,1
1,HOMICIDE,93,2
1,HOMICIDE,94,1
2,CRIM SEXUAL ASSAULT,-10,1
2,CRIM SEXUAL ASSAULT,-8,1
2,CRIM SEXUAL ASSAULT,-7,1
2,CRIM SEXUAL ASSAULT,-6,2
2,CRIM SEXUAL ASSAULT,-5,2
2,CRIM SEXUAL ASSAULT,-4,3
2,CRIM SEXUAL ASSAULT,-3,3
2,CRIM SEXUAL ASSAULT,-2,1
2,CRIM SEXUAL ASSAULT,-1,7
2,CRIM SEXUAL ASSAULT,0,12
2,CRIM SEXUAL ASSAULT,1,6
2,CRIM SEXUAL ASSAULT,2,9
2,CRIM SEXUAL ASSAULT,3,8
2,CRIM SEXUAL ASSAULT,4,6
2,CRIM SEXUAL ASSAULT,5,10
2,CRIM SEXUAL ASSAULT,6,8
2,CRIM SEXUAL ASSAULT,7,9
2,CRIM SEXUAL ASSAULT,8,13
2,CRIM SEXUAL ASSAULT,9,12
2,CRIM SEXUAL ASSAULT,10,5
2,CRIM SEXUAL ASSAULT,11,7
2,CRIM SEXUAL ASSAULT,12,17
2,CRIM SEXUAL ASSAULT,13,22
2,CRIM SEXUAL ASSAULT,14,9
2,CRIM SEXUAL ASSAULT,15,17
2,CRIM SEXUAL ASSAULT,16,9
2,CRIM SEXUAL ASSAULT,17,66
2,CRIM SEXUAL ASSAULT,18,27
2,CRIM SEXUAL ASSAULT,19,29
2,CRIM SEXUAL ASSAULT,20,29
2,CRIM SEXUAL ASSAULT,21,23
2,CRIM SEXUAL ASSAULT,22,11
2,CRIM SEXUAL ASSAULT,23,59
2,CRIM SEXUAL ASSAULT,24,59
2,CRIM SEXUAL ASSAULT,25,32
2,CRIM SEXUAL ASSAULT,26,35
2,CRIM SEXUAL ASSAULT,27,44
2,CRIM SEXUAL ASSAULT,28,50
2,CRIM SEXUAL ASSAULT,29,55
2,CRIM SEXUAL ASSAULT,30,79
2,CRIM SEXUAL ASSAULT,31,65
2,CRIM SEXUAL ASSAULT,32,73
2,CRIM SEXUAL ASSAULT,33,89
2,CRIM SEXUAL ASSAULT,34,79
2,CRIM SEXUAL ASSAULT,35,77
2,CRIM SEXUAL ASSAULT,36,73
