d_date,IUCR_Code,ID-count,Bin1-sum,Bin2-sum,Bin3-sum,Bin4-sum,Bin5-sum
1/1/2015,2,55,50,5,0,0,0
1/1/2015,3,32,15,17,0,0,0
1/1/2015,4,202,120,82,0,0,0
1/1/2015,6,39,14,25,0,0,0
1/1/2015,7,1,1,0,0,0,0
1/1/2015,8,16,6,10,0,0,0
1/1/2015,9,152,55,97,0,0,0
1/1/2015,10,23,9,14,0,0,0
1/1/2015,13,183,95,88,0,0,0
1/1/2015,14,111,62,49,0,0,0
1/1/2015,15,23,21,2,0,0,0
1/1/2015,17,52,45,7,0,0,0
1/1/2015,19,116,111,5,0,0,0
1/1/2015,20,43,6,37,0,0,0
1/1/2015,21,1,1,0,0,0,0
1/1/2015,22,93,34,59,0,0,0
1/1/2016,1,3,1,2,0,0,0
1/1/2016,2,32,1,31,0,0,0
1/1/2016,3,24,4,20,0,0,0
1/1/2016,4,229,61,168,0,0,0
1/1/2016,6,43,9,34,0,0,0
1/1/2016,8,14,1,13,0,0,0
1/1/2016,9,129,21,108,0,0,0
1/1/2016,10,28,5,23,0,0,0
1/1/2016,11,1,1,0,0,0,0
1/1/2016,13,159,11,148,0,0,0
1/1/2016,14,121,18,103,0,0,0
1/1/2016,15,7,2,5,0,0,0
1/1/2016,17,48,0,48,0,0,0
1/1/2016,19,102,0,102,0,0,0
1/1/2016,20,21,1,20,0,0,0
1/1/2016,22,73,6,67,0,0,0
1/1/2017,1,2,1,1,0,0,0
1/1/2017,2,32,2,30,0,0,0
1/1/2017,3,42,5,37,0,0,0
1/1/2017,4,209,29,180,0,0,0
1/1/2017,6,45,1,44,0,0,0
1/1/2017,8,23,2,21,0,0,0
1/1/2017,9,183,11,172,0,0,0
1/1/2017,10,34,1,33,0,0,0
1/1/2017,13,125,3,122,0,0,0
1/1/2017,14,130,10,120,0,0,0
1/1/2017,15,9,0,9,0,0,0
1/1/2017,17,38,0,38,0,0,0
1/1/2017,19,122,0,122,0,0,0
1/1/2017,20,12,1,11,0,0,0
1/1/2017,22,83,6,77,0,0,0
1/1/2018,1,4,4,0,0,0,0
1/1/2018,2,11,11,0,0,0,0
1/1/2018,3,30,30,0,0,0,0
1/1/2018,4,158,158,0,0,0,0
1/1/2018,6,35,35,0,0,0,0
1/1/2018,7,1,1,0,0,0,0
1/1/2018,8,31,31,0,0,0,0
1/1/2018,9,125,125,0,0,0,0
1/1/2018,10,63,63,0,0,0,0
1/1/2018,13,55,55,0,0,0,0
1/1/2018,14,73,73,0,0,0,0
1/1/2018,15,19,19,0,0,0,0
1/1/2018,17,17,17,0,0,0,0
1/1/2018,19,83,83,0,0,0,0
1/1/2018,20,17,17,0,0,0,0
1/1/2018,21,1,1,0,0,0,0
1/1/2018,22,61,61,0,0,0,0
1/10/2015,1,1,1,0,0,0,0
1/10/2015,3,24,16,8,0,0,0
1/10/2015,4,120,86,34,0,0,0
1/10/2015,6,38,24,14,0,0,0
1/10/2015,7,3,2,1,0,0,0
1/10/2015,8,28,19,9,0,0,0
1/10/2015,9,140,99,41,0,0,0
1/10/2015,10,44,36,8,0,0,0
1/10/2015,11,1,1,0,0,0,0
1/10/2015,13,28,27,1,0,0,0
1/10/2015,14,49,35,14,0,0,0
1/10/2015,15,9,4,5,0,0,0
1/10/2015,16,10,7,3,0,0,0
1/10/2015,17,2,2,0,0,0,0
1/10/2015,19,8,7,1,0,0,0
1/10/2015,20,78,43,35,0,0,0
1/10/2015,21,1,1,0,0,0,0
1/10/2015,22,60,46,14,0,0,0
1/10/2016,2,1,0,1,0,0,0
1/10/2016,3,38,33,5,0,0,0
1/10/2016,4,127,105,22,0,0,0
1/10/2016,6,31,26,5,0,0,0
1/10/2016,8,35,31,4,0,0,0
1/10/2016,9,118,104,14,0,0,0
1/10/2016,10,28,26,2,0,0,0
1/10/2016,13,38,34,4,0,0,0
1/10/2016,14,70,65,5,0,0,0
1/10/2016,15,7,7,0,0,0,0
1/10/2016,16,3,2,1,0,0,0
1/10/2016,17,4,3,1,0,0,0
1/10/2016,19,7,6,1,0,0,0
1/10/2016,20,29,27,2,0,0,0
1/10/2016,22,57,47,10,0,0,0
1/10/2017,2,7,0,2,5,0,0
1/10/2017,3,35,0,22,13,0,0
1/10/2017,4,107,0,59,48,0,0
1/10/2017,6,47,0,15,32,0,0
1/10/2017,8,52,0,23,29,0,0
1/10/2017,9,152,0,60,92,0,0
1/10/2017,10,26,0,9,17,0,0
1/10/2017,13,66,0,15,51,0,0
1/10/2017,14,114,0,64,50,0,0
1/10/2017,15,7,0,6,1,0,0
1/10/2017,17,2,0,1,1,0,0
1/10/2017,19,7,0,3,4,0,0
1/10/2017,20,21,0,7,14,0,0
1/10/2017,22,60,0,34,26,0,0
1/10/2018,1,2,0,2,0,0,0
1/10/2018,2,1,0,1,0,0,0
1/10/2018,3,32,0,4,28,0,0
1/10/2018,4,114,0,22,92,0,0
1/10/2018,6,49,0,9,40,0,0
1/10/2018,7,2,0,0,2,0,0
1/10/2018,8,31,0,4,27,0,0
1/10/2018,9,181,0,25,156,0,0
1/10/2018,10,26,0,3,23,0,0
1/10/2018,13,50,0,10,40,0,0
1/10/2018,14,103,0,20,83,0,0
1/10/2018,15,9,0,4,5,0,0
1/10/2018,16,5,0,0,5,0,0
1/10/2018,17,4,0,1,3,0,0
1/10/2018,19,8,0,2,6,0,0
1/10/2018,20,39,0,2,37,0,0
1/10/2018,22,43,0,4,39,0,0
1/11/2015,2,4,0,4,0,0,0
1/11/2015,3,26,0,26,0,0,0
1/11/2015,4,136,0,136,0,0,0
1/11/2015,6,33,0,33,0,0,0
1/11/2015,7,1,0,1,0,0,0
1/11/2015,8,30,0,30,0,0,0
1/11/2015,9,146,0,146,0,0,0
1/11/2015,10,23,0,23,0,0,0
1/11/2015,13,22,0,22,0,0,0
1/11/2015,14,80,0,80,0,0,0
1/11/2015,15,9,0,9,0,0,0
1/11/2015,16,5,0,5,0,0,0
1/11/2015,17,3,0,3,0,0,0
1/11/2015,19,5,0,5,0,0,0
1/11/2015,20,69,0,69,0,0,0
1/11/2015,21,1,0,1,0,0,0
1/11/2015,22,55,0,55,0,0,0
1/11/2016,1,1,0,1,0,0,0
1/11/2016,3,41,31,10,0,0,0
1/11/2016,4,95,77,18,0,0,0
1/11/2016,6,35,29,6,0,0,0
1/11/2016,8,33,28,5,0,0,0
1/11/2016,9,118,97,21,0,0,0
1/11/2016,10,35,28,7,0,0,0
1/11/2016,11,1,1,0,0,0,0
1/11/2016,13,45,41,4,0,0,0
1/11/2016,14,52,43,9,0,0,0
1/11/2016,15,2,2,0,0,0,0
1/11/2016,17,1,1,0,0,0,0
1/11/2016,19,4,3,1,0,0,0
1/11/2016,20,16,13,3,0,0,0
1/11/2016,22,33,29,4,0,0,0
1/11/2017,1,3,0,2,1,0,0
1/11/2017,2,3,0,2,1,0,0
1/11/2017,3,34,0,27,7,0,0
1/11/2017,4,123,0,78,45,0,0
1/11/2017,6,38,0,27,11,0,0
1/11/2017,7,1,0,1,0,0,0
1/11/2017,8,33,0,22,11,0,0
1/11/2017,9,147,0,86,61,0,0
1/11/2017,10,36,0,30,6,0,0
1/11/2017,13,54,0,32,22,0,0
1/11/2017,14,80,0,57,23,0,0
1/11/2017,15,10,0,6,4,0,0
1/11/2017,17,2,0,0,2,0,0
1/11/2017,19,6,0,3,3,0,0
1/11/2017,20,29,0,20,9,0,0
1/11/2017,22,59,0,45,14,0,0
1/11/2018,1,3,0,0,3,0,0
1/11/2018,2,1,0,0,1,0,0
1/11/2018,3,25,0,14,11,0,0
1/11/2018,4,103,0,40,63,0,0
1/11/2018,6,64,0,14,50,0,0
1/11/2018,8,36,0,11,25,0,0
1/11/2018,9,163,0,47,116,0,0
1/11/2018,10,22,0,9,13,0,0
1/11/2018,11,1,0,1,0,0,0
1/11/2018,13,55,0,12,43,0,0
1/11/2018,14,107,0,40,67,0,0
1/11/2018,15,13,0,2,11,0,0
1/11/2018,17,3,0,0,3,0,0
1/11/2018,19,5,0,0,5,0,0
1/11/2018,20,34,0,14,20,0,0
1/11/2018,21,1,0,0,1,0,0
1/11/2018,22,60,0,17,43,0,0
1/12/2015,2,1,1,0,0,0,0
1/12/2015,3,26,21,5,0,0,0
1/12/2015,4,94,83,11,0,0,0
1/12/2015,6,35,35,0,0,0,0
1/12/2015,8,36,29,7,0,0,0
1/12/2015,9,149,130,19,0,0,0
1/12/2015,10,21,13,8,0,0,0
1/12/2015,11,1,0,1,0,0,0
1/12/2015,13,36,32,4,0,0,0
1/12/2015,14,80,75,5,0,0,0
1/12/2015,15,1,1,0,0,0,0
1/12/2015,16,3,3,0,0,0,0
1/12/2015,17,3,3,0,0,0,0
1/12/2015,19,2,2,0,0,0,0
1/12/2015,20,65,60,5,0,0,0
1/12/2015,22,53,44,9,0,0,0
1/12/2016,2,2,1,1,0,0,0
1/12/2016,3,21,20,1,0,0,0
1/12/2016,4,84,79,5,0,0,0
1/12/2016,6,34,33,1,0,0,0
1/12/2016,8,42,42,0,0,0,0
1/12/2016,9,117,114,3,0,0,0
1/12/2016,10,37,37,0,0,0,0
1/12/2016,11,1,1,0,0,0,0
1/12/2016,13,43,34,9,0,0,0
1/12/2016,14,79,79,0,0,0,0
1/12/2016,15,3,2,1,0,0,0
1/12/2016,17,5,5,0,0,0,0
1/12/2016,19,5,5,0,0,0,0
1/12/2016,20,35,35,0,0,0,0
1/12/2016,21,1,1,0,0,0,0
